text,type
"Ich kann unternehmen nur empfehlen. Mein Ansprechpartner dort war sehr engagiert, hat mich gut beraten. Nach Einreichung der Unterlagen hatte ich sehr schnell ein Angebot und kurz darauf wurde mir das Darlehen zur Verfügung gestellt.",Gewissenhaft
Eine wunderbare Zusammenarbeit mit hervorragenden Ergebnissen. Durch die maximale Machbarkeitswahscheinlichkeit und dem Ausschreibungsnachnameip wird für den Kunden das bestmöglich Angebot im schwierigen Markt der Gewerbefinanzierungen erzeugt. Gepaart mit persönlicher und hochspezialisierter Beratung macht die Zusammenarbeit sehr viel Spaß! Wir freuen uns über weitere gemeinsame Projekte!,Initiativ
"Ausschreibungsverfahren führt zu effizieter Bündelung der Aktivitäten.
Professionelle bearbeitung von Rückfragen.",Dominant
"Die Bearbeitung war hervorragend. Sehr schnell und unbürokratisch.
Ich kann es nur weiter empfehlen.",Initiativ
"Schnell, einfach, günstiger und besser ??",Initiativ
"Sehr gute und kompetente Beratung, kann man nur empfehlen!",Initiativ
"sehr einfache Handhabung bei Eingabe der Anfrage, sehr schnelle Reaktion, äußerst engagierte Mitarbeiter!",Initiativ
Die Unterstützung war sehr hilfreich!,Stetig
alles ging schnell und problemlos.,Dominant
"Kompetente, fachlich versierte, lösungsorientierte Ansprechpartner, die auch Alternativüberlegungen einbringen; empfehlenswert",Gewissenhaft
unternehmen hat nach kurzer Beratung das passende Angebot vermitteln können. Dabei wurde ohne viel Umschweife auf die wichtigsten Punkte eingegangen. Von der Kontaktaufnahme zu unternehmen bis zur Auszahlung des Kredites sind nicht einmal 2 Wochen vergangen.,Gewissenhaft
"Sehr netter, kompetenter Kontakt. Empfehlenswert. Vielen Dank!",Initiativ
Nach anfänglichen Startschwierigkeiten Top-Service und Flexiblität,Dominant
Eine wundervolles Konzept für Unternehmensfinanzierungen.,Initiativ
"Engagierte und kompetente Mitarbeiter, die auch mögliche Alternativen aufzeigen und sich eigeninitiativ um die Belange des Kunden kümmern.
Uneingeschränkt empfehlenswert.",Initiativ
Dynamisch und zuverlässig,Dominant
"Gute Portallösung mit persönlichen Beratern, die freundlich und zuverlässig die passenden Konzeptionen erstellen.",Stetig
"Für Privatkunden gibt es viele Vergleichsportale...aufmerksam geworden durch eine Werbung, finden wir es toll, dass Unternehmen - auch unabhängig von einer Hausbank unkompliziert, aber mit persönlicher Beratung zu dem jeweiligen Projekt eine Finanzierung suchen können",Initiativ
"Die Vermittlung von Finanzierungsanfragen erfolgt höchst kompetent.
Aufgrund der offenen Kommunikation konnten die Anfragen in kürzester Zeit zum Abschluss gebracht werden.",Gewissenhaft
kompetent schnell und super freundlich,Initiativ
"Top Service, schnelle Entscheidungsfindung. Mit unternehmen taucht man in eine völlig neue Welt der Finanzierung ein. Wer jetzt noch sagt Deutschland sei eine  Servicewüste der soll sich bitte mit unternehmen in Verbindung setzen.",Initiativ
"Sehr gute Beratung, schnelle Reaktionszeit",Initiativ
Ausreichend gute Angebote in guter Zeit,Gewissenhaft
"Kompetente Beratung einfacher Prozess, Spitze.",Initiativ
"Es ist sehr wichtig gut beratet zu werden.. für mich wars auch sehr wichtig dass zügig auf anschreiben antwort kommt .. ich finde es super dass sofort auf e mails und anrufe geantwortet worden ist . 
Ich kann es nur weiterempfelen .. 
????",Initiativ
Habe mich sehr gut beraten und betreut gefühlt jederzeit gerne wieder.,Stetig
"Bei der Beantragung von Betriebsmitteln für einen Klienten hat die einfache Handhabung der Homepage, zusammen mit der persönlichen Prüfung und Optimierung der Anfrage durch Herrn nachname als Kundenberater, zum erfolgreichen Abschluss geführt. Vielen Dank!",Gewissenhaft
Schneller & freundlicher Service!,Initiativ
"Herr nachname der Berater war Einwandfrei Sachlich hat Erfahrung und Kompetenz die seines Gleichen Sucht. 
Danke Herr Gurschke",Initiativ
"Schnelle, kompetente Abwicklung",Dominant
"Nach Spezifizierung unserer Anfrage erhielten wir kurzfristig mehrere Finanzierungsangebote. Bei Rückfragen konnten wir jederzeit unseren Ansprechpartner bei unternehmen sprechen. Sehr angenehmer Kontakt, können wir nur empfehlen.",Stetig
Kompetente Beratung und Unterstützung,Dominant
Sehr zügige und zielführende Beratung am Telefon sowie Vermittlung von Finanzierern - auch bei Speizailmaschinen. Gerne wieder!,Dominant
"Prompte Bearbeitung der Kreditanfrage
Kontinuierlicher Ansprechpartner
Gute Erreichbarkeit
Direkte offene Kommunikation",Gewissenhaft
Das Angebot kam schnell mit guten Konditionen mit Nachverhandlung!,Dominant
"Ich war mit der Tätigkeit von unternehmen sehr zufrieden und kann die Gesellschaft guten Gewissens weiter empfehlen. 
Mein Sachbearbeiter, Herr nachname, stand mir äußerst kompetent für alle Fragen jederzeit zur Verfügung. Äußerst hilfreich war sein Wissen, wie Banken heutzutage „ ticken „.
In allen Besprechungen mit den Banken war seine Verhandlungsführung 
sehr hilfreich und zielführend.
Danke.",Stetig
"Mein Ansprechpartner bei unternehmen, Herr nachname, ist nicht nur kompetent und effektiv, sondern auch schnell. Und allein das zählt in der Wirtschaft.
Weiter so! Ich kann unternehmen nur wärmstens empfehlen.",Initiativ
Kompetente und gute Beratung sowie ein offener und schneller Service! Gerne wieder.,Stetig
Super Beratung und Unterstützung,Initiativ
"+ geringer Aufwand für die Erstellung einer Kreditanfrage
+ erfolgreiche Vermittlung von zwei Firmenkrediten (Gesamt: 520 TSD Euro)
+ Vermittlung einer Bank, die wir sonst nie angesprochen hätten (apoBank)
+ super Konditionen
+ kompetente, freundliche und kreative Mitarbeiterin
+ schnelle Antworten per E-Mail, telefonisch erreichbar",Gewissenhaft
"Sehr kompetente Beratung, immer auf der Suche nach einer passender Lösung. Ich war positiv überrascht über so viel Engagement.",Initiativ
Die Zusammenarbeit mit den Mitarbeitern der Firma unternehmen waren sehr gut.,Stetig
Kompetente Ansprechpartner und schnelle Ergebnisse und Entscheidungen!,Dominant
"Kompetente, persönliche Kundenbetreuung!",Stetig
Hervorragende Beratung und vor allem auch sehr gute persönliche Betreuung !,Initiativ
"Sehr netter Kontakt.
",Stetig
Sehr schnell und gutes Angebot,Dominant
Alles reibungslos.,Dominant
"schnelle Bearbeitung
leichte Kommunikationsprobeme",Dominant
"professionelle und termingerechte Betreuung, sehr gutes Ergebnis",Dominant
Sehr freundliche und persönliche Beratung.,Stetig
schnelle und unkomplizierte Bearbeitung.,Dominant
"Top Service / Der Ansprechpartner hat sich ohne aufzugeben sehr gut und intensiv gekümmert.
",Initiativ
"Durch die professionelle Aufbereitung unserer Anfrage wurde das angefragte Darlehen innerhalb weniger Tage durch einen alternativen Finanzierer genehmigt und ausgezahlt.
",Gewissenhaft
"Seriös und kompetent. Und es hat wunderbar geklappt. Umschuldung, weg von Dispo mit 8.9 % hin zu Annuitätenkredit sehr guten Konditionen.",Gewissenhaft
Sehr kompetente Beratung und individuelle Lösungen auch in schwierigen Themenbereichen möglich. Fazit: Sehr empfehlenswert!,Dominant
"Unkompliziert und schnell. Vielen Dank für die gute Zusammenarbeit
",Initiativ
Sehr gute Plattform !,Dominant
Freundlicher und kompetenter Service,Initiativ
"Es hat alles sehr super und unkompliziert Funktioniert, kann man nur weiter empfehlen…",Initiativ
"Freundliche, kompetente Unterstützung bei der Ausschreibung. Gesprächstermine werden genau eingehalten. Da sich für uns eine andere Lösung ergeben hatte, kam der Kreditvertrag nicht zustande.
Der Ablauf bis dahin war reibungslos.",Gewissenhaft
"Unkomplizierte und vor allem persönliche Abwicklung der Anfragen. Ich war zu Anfang skeptisch unternehmensrelevante Daten hochzuladen. Durch ein persönliches Gespräch mit unserem veranwortlichen Betreuer, wurden diese Bedenken aber sofort entkräftet. Die Anfragen wurden in ein bis zwei Wochen positiv entschieden. Das nächste Mal werden wir genauso wieder vorgehen.",Stetig
Persönliche Beratung top,Stetig
Sehr überzeugender Service! Kompetent und schnell! Werde es auf jeden Fall wieder nutzen.,Initiativ
Hat super geklappt.,Initiativ
"Ich hatte einen Kontokorrentkredit ausgeschrieben und innerhalb einer Woche hatte ich drei Angebote, die günstiger waren als bei meiner Hausbank. Echt Klasse. Mache meine nächsten Finanzierungen auch wieder mit unternehmen.",Stetig
"*Gute Ansprache und Erreichbarkeit eines Beraters
*Lösungs- und erfolgsorientierte Herangehensweise
*Die Finanzierung konnte erfolgreich abgeschlossen werden",Gewissenhaft
Alles bestens!,Dominant
"Alles bestens, bei Bedarf gerne wieder.",Stetig
alles ok,Dominant
alles super gelaufen mit der kompletten Abwicklung,Initiativ
"Angefragt hatte ich das Sale and Lease Back meines Maschinenparks. Da die Bewertung der Maschinen sich seitens Gutachter etwas gezogen hat, konnte mein Berater mir binnen weniger Stunden eine Kreditzusage über ein Engagement von ***€ Einholen.

So stelle ich mir das vor!",Gewissenhaft
"Ansprechpartner hat sich sofort um unser Anliegen gekümmert und uns bis zur Lieferung mit Rat und Tat begleitet. Er war verbindlich und hat alle Zusagen gehalten. Top Leistung !!!
Es war nur ein Waschanlagen Kauf, aber ich würde auch größere Projekte mit dem Anbieter machen.",Initiativ
"Auch wenn wir bis dato noch keine Fremdmittel aufnehmen mussten, über unternehmen ging das sehr schnell und relativ einfach ohne aufwendige bürokratische Hürden.",Gewissenhaft
"Auf der Suche nach einer Sattelzugmaschine bin ich auf unternehmen gestoßen. Innerhalb kürzester Zeit hatte ich vier Angebote vorliegen und konnte mir das optimale aussuchen. Der Ablauf war schnell und unkompliziert, ich sage Danke!",Gewissenhaft
"Auf Umwegen haben wir von dieser Finanzagentur erfahren. Nach einer Anfrage von unserer Seite bekamen wir sofort einen hilfreichen Rückruf zur Abklärung unserer Situation. Daraufhin haben wir spontan alle Unterlagen erhalten, die wir zur Darstellung unseres Finanzproblems brauchten. Die Firma unternehmen hat sich sogleich mit unseren Unterlagen auf die Suche nach einem Finanzpartner begeben. Wenige Tage später erreichten uns dann entsprechende Angebote. Wir sind zu 100% zufrieden gestellt worden.",Initiativ
"Beim Wareneinkauf konnte mich unternehmen. Mit einer Einkaufsfinazierung perfekt Unterstützen.
Ich freue mich auf das nächste Projekt.",Stetig
Beratung war sehr zielführend.,Dominant
Besonders gelungen war der unkomplizierte Datenaustausch mit unternehmen. Nach der Anmeldung erhielten wir zugang zu einer Plattform auf welcher wir unsere Dokumente umgehen hochladen und den Bearbeitungsstand einsehen konnten.,Gewissenhaft
"Bin sehr zufrieden, ging Alles schnell und kompetent über die Bühne.",Dominant
Dank unternehmen konnte ich einen passenden Factoringpartner finden mit dem ich sehr gut zusammenarbeite. Der Vergleich der Konditionen und Gebühren hat mir viel Zeit und Aufwand gespart,Gewissenhaft
Dank unternehmen konnte ich mir eine Anschlussfinanzierung innerhalb weniger Tage sichern. Damit konnte ich meine Geschäftsfelder erweitern und den Umsatz steigern. Kann ich so empfehlen.,Stetig
"Der Einsatz aller Mitarbeiter von unternehmen war beispielhaft. Zu jedem vereinbarten
Termin kamen pünktlich die Ansagen. Durch die Vermittlung von unternehmen konnten wir eine Lösung für unsere Finanzierung finden. Wir werden unternehmen in jedem Falle weiterempfehlen.",Initiativ
"Der Finanzbedarf wurde kompetent und schnell gelöst.
Vielen Dank",Dominant
"Der Finanzberater war zu jeder Zeit hilfsbereit und erreichbar. Er verstand es perfekt unsere Gedanken und Wünsche in sehr kurzer Zeit umzusetzen. Jede Frage wurde sofort verständlich beantwortet.
Wir werden diese Firma jederzeit, jedermann empfehlen und auch wir werden diese in Zukunft wieder nutzen",Initiativ
"Der Kundenberater war freundlich, zielorientiert und konnte uns kompetent zur Seite stehen. Gerne wieder.",Stetig
Die Abläuf bei unternehmen sind für mich nicht ganz klar und wenig nachvollziehbar. Die Bearbeitung des Vorgangs hat sehr lange gedauert (mehrere Wochen) und über den Bearbeitungssstand wurde ich nur auf Nachfrage informiert.,Gewissenhaft
"Die Abwicklung verlief schnell, unkompliziert über Mail`s. Besonders möchte ich den freundlichen
Kontakt zu Ihrer Mirarbeiterin,***, hervorheben. 
Bei Bedarf werde ich gern wieder auf Sie zukommen.
mfG",Initiativ
"Die Abwicklung war von Anfang an professionell, zügig und offen. Das Team freundlich und
jederzeit erreichbar. Wir sind sehr zufrieden. Wir werden unternehmen weiter empfehlen.",Stetig
"Die anforderten Dokumente des Finanzierers waren relativ viel, aber trotzdem hat uns unternehmen dabei unterstützen können!",Gewissenhaft
"Die Aufgabenstellung war unter den aktuellen Betriebszahlen und Entwicklungen sehr schwierig.
Aber zusammen mit *** haben wir einen Partner gefunden, der eine EInkaufsfinanzierung zu passenden Konditionen und Abwicklungsprozessen mit trägt. Ein Ausbau der Zusammenarbeit kann ich mir sehr gut vorstellen.",Initiativ
"Die Beratung unseres Betreuers war sehr freundlich und kompetent. Kann unternehmen nur weiterempfehlen. Wünschte es würde noch etwas weniger Unterlagen benötigt, aber das hängt wohl von den finanzierenden Kreditinstituten ab. unternehmen hat sehr gut moderiert und über die Plattform hatte ich immer Einsicht in den aktuellen Stand meiner Anfrage.",Stetig
Die Beratung war sehr Kompetent. Der Berater war ständig erreichbar und kümmerte sich um jegliches Anliegen bestens. Die Finanzierung wurde auf meine Bedürfnisse angepasst. Ich bin mit dem Gesamtergebnis sehr zufrieden.,Stetig
"Die Beratung war überaus kompetent, bemüht und lösungsorientiert. Innerhalb kurzer bekam ich eine sehr gute und passende Finanzierungslösungen.",Dominant
"die Firma unternehmen war die einzige die uns Helfen konnte und die Einzigen die sich bemüht haben den Kunden alles zu ermöglichen. wir haben eine Finanzierung über eine Leasing bekommen und haben einen Mietkauf bekommen für eine Solaranlage mit super Konditionen. Da es für Kleingewerbe sehr schwer ist eine Finanzierung egal welcher art zubekommen haben unternehmen super Arbeit gemacht. Danke Danke auch an ***
Finanzierungsberater der sich da Reingekniet hat.",Initiativ
"Die Mitarbeiter sind sehr freundlich und Fachkompetent und versuchen jederzeit die Wünsche der Kunden zu realisieren.Es wird jederzeit versucht das beste Angebot für den Kunden zu finden.
Die Firma unternehmen können wir jeder Firma weiterempfehlen.",Stetig
Die Mitarbeiter von unternehmen waren für meinen Mandaten an individuellen Lösungen interessiert. Sehr service- und kundenorientiert.,Stetig
Die schnelle und kompetente Beratung sowie der Einsatz der Mitarbeiter ist vorbildlich im Finanzsektor. Die Konditionen und Abwicklung ist 1A. Immer gern wieder. LG.,Initiativ
Die Vorabzahlung war etwas ungewöhnlich aber fair. unternehmen konnte uns professionell bei der Einrichtung einer Factoringlinie unterstützen.,Stetig
Dies war unser zweiter Abschluss mit unternehmen und wir sind immer noch höchst zufrieden.,Initiativ
Diskrete und angenehme Finanzabwicklung,Gewissenhaft
"Durch ein übersichtliches Portal unterstützte Beratung. Die Planung und Umsetzung einer Finanzierung für unser Unternehmen ging sehr schnell und absolut problemlos. Bei der Beratung wird viel Wert darauf gelegt, das Business-Modell komplett durchschaut zu haben.",Gewissenhaft
"Eigentlich 5 Sterne, aber leider wurde uns nicht der volle Kreditbetrag gestattet.",Stetig
"Ein Super Team !!!
Alles sehr unkompliziert, ein toller Service, rasche Bearbeitungszeit. unternehmen ist nur zu Empfehlen.",Initiativ
Eine sehr gute Alternative zum klassischen Weg über die Hausbank. Sehr zu empfehlen.,Stetig
"Einfache, schnelle und unbürokratische Abwicklung, besonders wichtig bei kleinen Unternehmen wie unseres, da keine Zeit verschwendet werden muss für langwierige Beschaffung von Unterlagen, die nachher doch nicht bewertet werden. Faire Gebühren ! Werde nächsten Bedarf wieder mit Ihnen angehen.",Initiativ
"Einfacher Prozess, Top Service und sehr zügig!",Initiativ
Empfehlenswert und wird gerne weiter empfohlen!,Stetig
"Engagiert, zielorientiert und effektiv also genau was man sich von einem Dienstleister erwartet. Es ist somit sehr viel einfacher als selber die Angebote zu vergleichen wenn es mal um komplexere Leasinganfragen geht was wiederum Zeit und somit Geld spart. Der Service war persönlich ausgerichtet und daher würde ich ihn jederzeit wieder in Anspruch nehmen.",Initiativ
Es halt alles prima geklappt - es wurde sich gekümmert und auch auf Ablehnung von Angeboten nicht unwirsch reagiert,Initiativ
Es hat nicht einmal 48 Stunden gedauert bis ich die ersten Angebote von Finanzierungspartnern hatte,Initiativ
"Extrem schnell in den Reaktionen, super freundlich und kompetent, hervorragend auf digitale Abwicklung spezialisiert, die Abfolgen von Abfragen-Info´s auswerten-neue Info´s abfragen-auswerten-Finanzierer auswählen ... sind so getaktet, dass der Anfrager schon Mühe hat, diese Taktzahl zu halten. Sehr angenehme Begleitung durch diesen Prozess, Auswahl des richtigen Finanzierers, marktkonforme Konditionen, schnelle und kurze Entscheidung. Es gibt nichts, was zu kritisieren / verbessern ist. :-):-)",Initiativ
Exzellenter Service!,Initiativ
"unternehmen bietet als innovative digitale Finanzierungsplattform für kleine und mittlere Unternehmen einen unabhängigen Finanzierungsvergleich. Dieser bezieht sich nicht nur auf die Zinskondition, sondern auch auf Service- und Nebenleistungen. Hierfür stehen circa 200 Finanzierungspartner mit ihren Diensleistungen zur Verfügung. Die Menustruktur ist anwenderfreundlich und es wird ein regelmäßiger Austausch per Telefon oder per Mail gepflegt. Kompetente und kundenorientierte Abwicklung. Bestens!",Gewissenhaft
unternehmen hat es meinem Unternehmen ermöglicht schnell an die nötigen liquiden Mittel zu kommen um einen Großauftrag zu erfüllen! Besten Dank,Gewissenhaft
unternehmen hat mir bei der Liquiditätsbeschaffung enorm geholfen. EInfach zu bedienendes Portal und zusätzlich toller Support. Kann ich nur empfehlen.,Stetig
unternehmen hat mir eine super Dienstleistung geliefert und mir eine breite Übersicht über Angebote am Markt aufgezeigt. Meine nächste Anfrage werde ich auf jeden Fall wieder bei unternehmen stellen.,Initiativ
unternehmen hat uns eine kurzfristige Finanzierung von offenen Forderungen vermittelt. Die Kontakte zu den Finanzierungspartnern wurden schnell hergestellt. Bei Problemen wurde schnell reagiert. Wir waren sehr zufrieden.,Initiativ
unternehmen hat uns seit der Gründung unseres Unternehmens in herausragender Weise bei der Optimierung unseres Working Capitals unterstützt. Dies bezieht sich vor allem auf die Beratungsqualität und die Schnelligkeit der Umsetzung unserer Projekte. Vielen Dank !!!,Initiativ
"unternehmen ist ein seriöses Unternehmen welches auf das Wohlempfinden Ihrer Kunden bedacht ist!
Ich kann dieses Unternehmen und *** weiterempfehlen!
Vielen dank",Stetig
"unternehmen ist eine super Portallösung mit persönlichen Beratern, die freundlich und zuverlässig passende Finanzierungslösungen erstellen.",Initiativ
"unternehmen konnte mir eine Lösung ausarbeiten die letztlich zum Erfolg führte. Der für mich zuständige Mitarbeiter ist mit Eifer, Konsequenz und auch der nötigen Portion Freundlichkeit and die Sache gegangen und hat, so denke ich auch durch seinen persönlichen Einsatz, damit zum Gelingen beigetragen. Ich kann die Zusammenarbeit empfehlen.",Initiativ
"unternehmen sieht sich als langfristiger Partner beim Wachstum. Wir sind ein kleines Unternehmen mit Wachstumspotential, wo sich aber auch aufgrund der Branche und der Phase, in der wir stecken, die Strategien immer schnell ändern können. Da ist dann der Weg der klassischen Finanzierung häufig schwierig. Hier hat man verstanden, dass gerade junge schnell wachsende Unternehmen individueller betreut und beraten werden müssen.",Gewissenhaft
"unternehmen war sehr bemüht unser Anliegen zu verstehen und schlussendlich lag ein gutes Leasingangeobt, welches wir angenommen haben, vor.",Gewissenhaft
"Folgegeschäft - schnell und unkompliziert, genau wie beim ersten Mal.

Super!",Initiativ
"Freundlich und kompetente Beratung am Telefon, danach ging es sehr schnell und nach nur zwei Wochen wurde uns der Kredit ausbezahlt.",Stetig
"freundliche Beratung, kompetentes Team",Stetig
günstigen kredit bekommen-geld gespart. das ist alles was zählt,Initiativ
"Gute Abwicklung, schnelle Reaktion, ausführliche Angebotsausarbeitung!",Gewissenhaft
"gute beratung , zielorientiertes schnelles Vorgehen",Dominant
"Gute Lösungsansätze, kompetente Unterstützung.",Stetig
"Gute und Kompetente Beratung, schnelle Reaktionszeiten.",Dominant
Gute und schnelle Bearbeitung meiner Anfrage,Gewissenhaft
"Guter Service, ein sehr kompetenter Berater (***) und ein faires Angebot. Wir werden bei der nächsten Finanzierung wieder anfragen!",Stetig
Habe eine sehr gute Erfahrung mit dem Service von unternehmen gehabt. In weniger als zwei Wochen war meine Finanzierung gestemmt.,Stetig
Haben mir zwar nicht komplett aber zum grossen teil geholfen. Sehr netter kontakt und hilfsbereit,Stetig
Hat alles gut geklappt und konnte zügig abgewickelt werden - ein professioneller Partner!,Initiativ
Ich bin sehr positiv überrascht gewesen. Sehr schnelle und kompetente Abwicklung. Jederzeit wieder,Initiativ
Ich freue mich unternehmen als zuverlässigen Partner an meiner Seite gehabt zu haben. Done done. Danke!,Stetig
Ich gebe unternehmen 5 Sterne aner auch den neuen Zugmaschienen.,Initiativ
Ich hatte anfangs Bedenken weil soviele Dokumente gefordert wurden. Doch das kompetente Team von unternehmen konnte meine Bedenken zerstreuen. Bei unternehmen ist man immer direkt am Berater und landet nicht im Callcenter.,Stetig
"Ich war insgesamt sehr zufrieden, und letztendlich zählt sowieso nur das Ergebnis (=Das Zustandekommen der Finanzierung).
Der einzige Kritikpunkt aus meiner Sicht ist Ihr Telefonsystem: 
Wenn man versucht, den persönlichen Berater auf der vermeintlichen Durchwahl anzurufen, landet man immer in endlosen Warteschleifen. Das macht einen komischen Eindruck, und es erzeugt Misstrauen bei Leuten, die Sie noch nicht kennen.",Gewissenhaft
"Ich war mit dem Prozess bei unternehmen eigentlich sehr zufrieden, nur haben die Partner relativ lange gebraucht um eine Entscheidung zu fällen. Diese war jedoch positiv und damit alles gut.",Stetig
Ich war überrascht wie schnell die Finanzierung geklappt hat und mit wie wenig Aufwand. Der Service von unternehmen war sehr professionell und zielführend.,Initiativ
"Im Vergleich zu klassischen Geschäftsbanken sind die angeforderten Unterlagen auf das Notwendigste beschränkt. Dadurch kommt es zu einem schlanken und schnellen Entscheidungsprozess innerhalb kürzester Zeit.
Transparent, ehrlich, fair",Initiativ
Kann ich nur weiter empfehlen!,Initiativ
"Klare ,strukturierte Vorgehensweise . Berücksichtigung der firmenspezifischen Problemfelder .
Gemeinsame Bewertung des aktuellen und kurzfristigen Finanzbedarfs für neue Projekte .
Verständnis für komplizierte Zusammenhänge wie Auslandsgeschäfte (z.B .Indien )
Im Vergleich zu  herkömmlichen  Kreditinstituten - auch Hausbank - wesentlich flexibler ,
also jederzeit empfehlenswert . (relativ hoher Zins ) Auch die sogn. Nachbetreuung ist absolut ok.",Gewissenhaft
"Klarer Ablauf, gute Beratung und super Vergleich. War eine neue Erfahrung, dass es auch so unkompliziert laufen kann.",Initiativ
"Kompetent, freundlich und hilfsbereit.",Stetig
"Kompetente Beratung, schnelle Bearbeitungszeit und erfolgreicher Abschluss. Vielen Dank!",Dominant
Kompetente und freundliche Beratung,Stetig
Kundenbetreung,Stetig
Kundenfreundlich versucht auch in schwierigen fällen zu helfen.,Stetig
Kurzer Kontakt zur Entscheidungsfindung. Abwicklung des Kreditverfahrens zügig und aus unserer sicht gut.,Dominant
"Kurzer und einfacher Finanzierungsprozess, extrem gute Kundenberatung.",Initiativ
"Kurzes Briefing, super Beratung, schnelle Lösung mit nachhaltigen Erfolg!!!",Initiativ
"Liebes Team von unternehmen,
vielen Dank für Ihre Empfehlung. Indaro hat uns super betreut. Sehr freundliches, geduldiges und fachkompetentes Team. Auf jeden Fall 5 Sterne!!",Initiativ
Man erhält unterschiedlichste Angebote und kann sich so für das bestmögliche entscheiden.,Gewissenhaft
Manchmal wird man von der Anzahl der am Markt verfügbaren Finanzierungsmöglichkeiten überfordert. unternehmen hat unsere Anforderungen analysiert und für uns die bestmögliche Finanzierung gefunden. Danke für die Unterstützung!,Gewissenhaft
"Mein Berater zeigte mir eine Lösung auf, mit der ich in der Lage war den Wareneinkauf für einen Großauftrag zu stemmen - ein enormer Hebel für mich und meine Firma! Ich komme wieder",Initiativ
"Meine Erfahrung mit unternehmen ist sehr positiv. Von der ersten Kontaktaufnahme bis zum Abschluss und sogar bis zur Nachbetreuung, wird zu jeder Phase der Zusammenarbeit ein offener Umgang vorgelebt. Ein ganz besonderer Dank geht an ***, der neben seiner fachlichen Kompetenz stets bemüht war, das richtige Programm/Modul mit TOP-Konditionen als Lösung herbeizuführen. unternehmen würde ich auf Grund der Seriösität und der schnellen sowie zuverlässigen Abwicklung jedem weiterempfehlen.",Initiativ
Meine Finanzierungsanfrage wurde professionell und effektiv bearbeitet mit einem erfolgreichen sowie wirtschaftlichen Abschluss.,Gewissenhaft
Meine Hausbank hat mir leider abgesagt und konnte keinen weiteren Kredit geben. Über unternehmen hab ich innerhalb kurzer Zeit eine Alternative bekommen. Kann ich nur weiterempfehlen,Gewissenhaft
"Meine Situation wurde schnell erfasst und es wurden gute Lösungen erarbeitet. Freundliche und kompetente Ansprechpartner, die sich Zeit nehmen. Der Kredit war nicht so günstig wie ich das gehofft hatte, daher nur 4 von 5 Sternen.",Gewissenhaft
Mir wurde sehr schnell geholfen und ich konnte mein Vorhaben innerhalb kurzer Zeit realisieren. Ich bin sehr zufrieden,Dominant
Mit dem Vergleich von unternehmen konnte ich meine bisherigen Leasingverträge vergleichen und auf günstigere umfinanzieren,Gewissenhaft
Mitarbeiter sind motiviert und wissen wovon sie sprechen. Kompetent und sachlich; schnell in der Abwicklung; seriöse Partner; Lösungsorientiert,Gewissenhaft
"Nach anfänglicher Skepsis gegenüber unternehmen und dem dahinterstehenden Konzept, hat *** mich zunächst mit seiner sympathischen Art gewonnen. Als es dann ins Details ging, hat er mich auch inhaltlich zu 100% überzeugt. Wow! Ich komme wieder.",Initiativ
"Nach der Anmeldung über die Website wurden wir direkt angerufen, um ein erstes Gespräch zu führen. Bei diesem wurde uns die Möglichkeiten aufgezeichnet und jede Frage kompetent beantwortet. Nachdem wir die erforderlichen Dokumente hochgeladen hatten, dauerte es weniger als eine Woche bis wir ein gutes Angebot vorliegen hatten. Dieses haben wir schlussendlich auch angenommen und konnten daurch einen Engpass bedienen. Gerne wieder. Das ist echter mehru",Gewissenhaft
"Nach einem kurzen Erstgespräch hat uns unternehmen an einen Partner weitergeleitet, dieser konnte uns dann zu einem Kredit verhelfen.",Gewissenhaft
Nach zwei Wochen hatte ich eine Lösung um meine bisherigen Finanzierungen umzuschulden.,Gewissenhaft
Nichts zu beanstanden. Uns wurde schnell geholfen!,Dominant
"Nur zu empfehlen. Klare und ehrliche Abwicklung. Keine falschen Versprechungen, wie bei vielen anderen. Innerhalb 2 Wochen war alles erledigt und die gewünschte Summe auf dem Konto. Vielen Dank.",Initiativ
Perfekt wie immer,Initiativ
Perfekte Kommunikation und kompetente Bertung,Initiativ
"Persönliche Beratung / gute Kontakte / in unserem Fall schnelle und unbürokratische Abwicklung. 
- Allerdings keine eigenständigen Finanzierungskonzepte, sondern eine reine Vergleichsplattform, die nach Vorprüfung unter Rankinggesichtspunkten Banken und Produkte anfragt und ggf. vermittelt.",Gewissenhaft
"Pluspunkte: 
- schnelle und relativ unkomplizierte Bearbeitung 
- Angebot auf die Bedürfnisse abgestimmt
Kritik:
- Vorkasse von EUR *** für die Bearbeitung (machen andere Anbieter nicht)",Gewissenhaft
Problemlöser auch in schwierigen Situationen,Initiativ
Schnell und unkompliziert!,Dominant
Schnell wurde uns ein Leasingangebot unterbreitet. Faire Konditionen und rasche Abwicklung - eine äußerst potitive Erfahrung mit unternehmen!,Initiativ
"Schnell, flexibel, zuverlässig",Dominant
"Schnell, kompetent und kundenfreundlich. Sehr gute Beratung. Jederzeit wieder...",Stetig
"Schnell, kompetent, für Finanzierungsgeschäfte ungewohnt unkompliziert und mit sehr guter persönlicher Betreuung. Ich kann es nur weiterempfehlen!",Initiativ
"Schnell, unkompliziert und kompetent. Wir würden unternehmen jederzeit weiterempfehlen!",Initiativ
"Schnell, zuverlässig, gute Kommunikation. Alles bestens.",Stetig
Schnelle & Unkomplizierte Abwicklung.,Dominant
