"";"text";"type";"Englisch"
"102";"Als Berater ist unternehmen die Super Ergänzung, die Zusammenarbeit ist super, besonders mit Herrn nachname. Vielen Dank";"Initiativ";"As a consultant undertaking is the super complement, the collaboration is super, especially with gentleman last name. Thank you very much."
"103";"Sehr korrekte Abwicklung, passt Alles!";"Dominant";"Very correct handling, everything fits!"
"104";"Zuverlässiger Partner Ich habe unternehmen über das Internet gefunden und einen Finanzdienstleister gesucht, der uns die nächsten Jahre begleitet und auch eine schwierige Anfangsphase nicht scheut. Uns wurde professionel geholfen und die Situation wurde realistisch eingeschätzt. Massgeschneiderte Lösungen angeboten. Hat unsere Erwartungen übertroffen, wir sind zufrieden und sehen der weiteren Zusammenarbeit entgegen. Weiter so";"Stetig";"Reliable partner I have found companies via the Internet and have been looking for a financial services provider who will accompany us for the next few years and who is not afraid of a difficult initial phase. We were professionally helped and the situation was realistically assessed. Tailor-made solutions offered. Has exceeded our expectations, we are satisfied and look forward to further cooperation. Keep up the good work"
"105";"Bei unternehmen ist man von Anfang an gut beraten: Mit Ehrlichkeit, Prägnanz und Sachkenntnis geht der Kundenberater ran und begleitet einem bis zum Schluss der Kreditvergabe. Ich kann unternehmen nur weiterempfehlen!";"Stetig";"Companies are well advised right from the start: With honesty, conciseness and expertise, the client advisor approaches you and accompanies you right up to the end of the lending process. I can only recommend company!"
"106";"Schnell und unkomoliziert";"Dominant";"Fast and uncompressed"
"107";"Wir waren mit unternehmen in der Lage einen Unternehmenskredit zu bekommen, vielen Dank für die Zusammenarbeit!";"Stetig";"We were able to get a corporate loan with companies, thank you very much for your cooperation!"
"108";"Super kompetent, zuverlässig und schnell.";"Dominant";"Super competent, reliable and fast."
"109";"Perfekter Service - super schnelle Abwicklung. Nur zu empfehlen";"Initiativ";"Perfect service - super fast processing. Recommended only"
"110";"Super schnell, sehr kompetent und angenehm in der Zusammenarbeit";"Initiativ";"Super fast, very competent and pleasant to work with"
"111";"Hat mit gut gefallen!";"Initiativ";"I liked it!"
"112";"Bekam leider nur ein Angebot, was nicht zu meiner finanziellen Lage passte...trotzdem Danke für die Bemühungen!";"Stetig";"Unfortunately I only got one offer, which did not fit my financial situation...thanks for all your efforts!"
"113";"Als kleines Unternehmen (17 Mitarbeiter) haben wir bis dato nur Erfahrungen mit den regionalen Banken gemacht. Trotz positiver Berichterstattung waren wir skeptisch und sind mit einer geringen Erwartungshaltung an unternehmen herangetreten. Abschließend möchten wir sagen, dass die Zusammenarbeit sehr positiv war. Die Kommunikation war einwandfrei und immer bemüht das für uns bestmögliche Ergebnis zu erzielen. Auch über die normalen Geschäftszeiten hinaus war stets jemand ansprechbar und bereit Hilfestellung zu leisten.";"Stetig";"As a small company (17 employees), we have only had experience with regional banks to date. Despite positive reporting, we were sceptical and approached companies with low expectations. Finally, we would like to say that the cooperation has been very positive. The communication was impeccable and always tried to achieve the best possible result for us. Even after normal business hours, someone was always available and ready to help."
"114";"Super, tolle Beratung und Service";"Initiativ";"Super, great advice and service"
"115";"Guter Service, gute Erklärungen, Seriöses Angebot!";"Dominant";"Good service, good explanations, serious offer!"
"116";"Vom ersten Moment an, füllte ich mich bei unternehmen sehr gut aufgehoben. Die Vermittlung von Krediten klappte reibungslos. Banken, welche mir in der Vergangenheit keine Kredite zugesagt hatten, genehmigten mir jetzt Kredite. Die Zusammenarbeit war ein voller Erfolg.";"Stetig";"From the very first moment, I was in very good hands with unternehmen. The brokerage of loans went smoothly. Banks, which had not promised me any loans in the past, now approved loans for me. The cooperation was a complete success."
"117";"In der sehr schnelllebigen veränderbaren Welt der Banken und Berater hat sich unternehmen, und hier insbesondere Herr nachname sehr wohltuend hervorgehoben. Professionell, extrem kompetent und eben auch persönlich sind die Themen angegangen und mit einer ausgesprochenen Schnelligkeit gepaart mit der Fokussierung auf die unternehmerischen Belange abgezielt erfolgreich umgesetzt worden. Empfehlung? Gar keine Frage, unternehmen ist weiterzuempfehlen. Und hier auch die besten Wünsche für weitere erfolgreiche Transaktionen.";"Initiativ";"In the very fast-moving and changing world of banks and advisors has become a company, and here in particular Mr. surname very beneficially highlighted. The topics were approached professionally, extremely competently and also personally and were successfully implemented with a pronounced speed paired with a focus on entrepreneurial concerns. Recommendation? There's no question about it, we recommend doing it. And here also the best wishes for further successful transactions."
"118";"Ihr seid ein tolles kompetentes Team, es macht Spass mit euch zusammen zu arbeiten. Richtig gute Mitarbeiter, sind welche, ... die richtig Potenzial haben und Interesse zeigen. die sich einbringen wollen. die selbständig mitdenken und Ideengeber sind. die ein Unternehmen voranbringen (wollen). die dem Unternehmen und Projekt Persönlichkeit geben. die der Firma und den Chefs gegenüber Loyal sind in einigen Gespächen mit Ihnen Frau Di Benedetto, mit Herr Rossa, Herr nachname ( sehr guter angenehmer Mann)und Herr nachname ( der kommt sehr ernst rüber, aber sehr kompetent, ich bin überzeugt, dass der es drauf hat) und nicht zu vergessen Frau nachname ( toller Mensch, sehr engagiert) habe ich getestet wie loyal ihr gegenüber euerer Firma und den Chefs seid, ihr habt alle mit Bestnote bestanden, ihr seid ein tolles Team. Ich hoffe ich werde die anderen Mitarbeiter auch mal kennen lernen. Jetzt aber zu den Chefs: Top-Mitarbeiter verlassen niemals ihren Job, sondern ihren Chef. Guten Mitarbeitern sind immer folgendes wichtig und das sollten Führungskräfte immer wissen: Arbeitsklima Kollegenfreundschaft interessante Aufgaben Entwicklungschancen gewisse Freiheiten (Homeoffice, Arbeitsbeginn etc.) und ich glaube ihre Chefs beherschen und beachten dies. Ihr seid alle dann gut aufgehoben. Sie sind auf jeden Fall kompetent, sonst wären sie nicht in der Lage gewesen, so eine tolle Mannschaft zusammen zu schweißen. Für mein Team ist es wichtig mit einer seriösen Firma zusammen zu arbeiten, deren Mitarbeiter kompetent sind, deshalb arbeiten wir mit ihnen zusammen. Wir werden noch viele unserer Kunden an sie weiter vermitteln. Schöne Grüße aus dem Saarland. Michler";"Initiativ";"You are a great competent team, it is fun to work together with you.    Really good employees are those who ... have the right potential and show interest ... who want to contribute ... who think for themselves and give ideas ... who want to advance a company ... who give personality to the company and the project. the ones of the company and the bosses towards Loyal are in some conversations with you Mrs. Di Benedetto, with Mr. Rossa, Mr. surname (very good pleasant man) and Mr. surname (he comes over very seriously, but very competent, I am convinced that he has it) and not to forget Mrs. surname (great man, very engaged) I have tested how loyal you are towards your company and the bosses, you all passed with top marks, you are a great team. I hope I will get to know the other employees as well. But now to the bosses: Top employees never leave their job, but their boss.    Good employees are always concerned about the following and managers should always know this: Work climate colleagues friendship interesting tasks development opportunities certain freedoms (home office, start of work etc.) and I believe their bosses master and observe this. You'll all be in good hands. They are competent in any case, otherwise they would not have been able to weld such a great team together. For my team it is important to work together with a reputable company whose employees are competent, therefore we work together with them. We will continue to refer many of our customers to them. Greetings from Saarland. Michler"
"119";"Ich machte zu meiner Überraschung wirklich gute Erfahrungen, war zu Beginn naturgemäß skeptisch. Auch wenn es in unserem Fall kein Darlehnsabschluss zustande kam würde ich diese Plattform wieder aufsuchen.";"Gewissenhaft";"To my surprise, I had really good experiences and was naturally sceptical at the beginning. Even if there was no loan agreement in our case, I would visit this platform again."
"120";"Sehr guter Service realisiert durch meinen persönlichen unternehmen-Berater mittels seines 100%-igen Einsatzes zugunsten einer professionellen Abwicklung mit erfolgreichen Resultat.";"Initiativ";"Very good service realized by my personal business consultant by means of his 100% commitment in favor of a professional handling with successful result."
"121";"Alles Super";"Initiativ";"Everything Super"
"122";"Sehr gute Beratung, kompetenten und sehr einsatzbereit, bin sehr zufrieden.";"Initiativ";"Very good advice, competent and very ready for action, I am very satisfied."
"123";"sehr kunden- & serviceorientiert";"Dominant";"very customer- & service-oriented"
"124";"Professionelle Abwicklung und vor allem Lösungsorientiert. Sehr gute Konditionen bekommen. Jederzeit zu empfehlen!";"Dominant";"Professional handling and above all solution-oriented. Very good conditions. Always recommended!"
"125";"Ausgezeichnete und schnelle Beratung, es wurden maßgeschneiderte Finanzprodukte für uns gefunden!";"Dominant";"Excellent and fast advice, tailor-made financial products were found for us!"
"126";"Hervorragende kompetente Beratung. War am Beginn etwas Misstrauisch, kann unternehmen aber wirklich als Top Beratung empfehlen. Wir konnten innerhalb kürzester Zeit, und völlig unkompliziert mehrere Transporter und Baumaschinen finanzieren. Vielen Dank dafür...";"Initiativ";"Excellent competent advice. Was a little suspicious in the beginning, but can really recommend undertaking as top advice. We were able to finance several transporters and construction machines within a very short time and in a completely uncomplicated manner. Thank you very much for..."
"127";"Hervorragende Beratung! Der Service von Compoeon ist freundlich, schnell, kompetent, flexibel und sehr lösungsorientiert. Die Erwartungen wurden am Ende mehr als erfüllt. unternehmen ist auf jeden Fall eine Empfehlung wert.";"Initiativ";"Excellent advice! Compoeon's service is friendly, fast, competent, flexible and very solution-oriented. At the end of the day, the expectations were more than fulfilled."
"128";"rundum kompetente Beratung und sehr zuvorkommender Service einfach toll und unkompliziert super";"Initiativ";"all around competent advice and very courteous service    simply great and uncomplicated super"
"129";"Guter Service. Als Neukunde wurde mir von meinem persönlichen Ansprechpartner, genau mitgeteilt was benötigt wird um die Ausschreibung richtig zu erstellen. Nach Erhalt der Resultate ging die persönliche Betreuung bis zum positiven Abschluss weiter. Sehr zu empfehlen!";"Stetig";"Good service. As a new customer, my personal contact person told me exactly what is needed to create the tender correctly. After receiving the results, the personal support continued until the positive conclusion. Highly recommended!"
"130";"Sehr gute, unkomplizierte und kompetente Beratung";"Dominant";"Very good, uncomplicated and competent advice"
"131";"Super Service, kompetente Beratung, starke Plattform! Auf jeden Fall empfehlenswert!";"Initiativ";"Super service, competent advice, strong platform! In any case recommendable!"
"132";"Kompetente Beratung, problemlose Abwicklung der Finanzierung, Danke";"Dominant";"Competent advice, problem-free handling of financing, thank you"
"133";"Sehr kompetente Gesprächspartner, gerade dann, wenn es nicht um den Standard geht!";"Dominant";"Very competent interlocutors, especially when it's not about the standard!"
"134";"Das Verfahren funktionierte einfach und war bereits nach kurzer Zeit positiv abgeschlossen.";"Dominant";"The procedure worked simply and was already positively completed after a short time."
"135";"Danke für die schnelle und unkomplizierte Unterstützung in meinen Finanzierungsfragen. Selten so gut betreut worden. Viele Danke an das gesamte Team von unternehmen";"Initiativ";"Thank you for the fast and uncomplicated support in my financing questions. Seldom been so well looked after. Many thanks to the entire team of companies"
"136";"Leider gar nicht digital sondern sehr manuell";"Dominant";"Unfortunately not digital at all but very manual"
"137";"Perfekter Service. Schnelle Rückmeldung und Beratung über Detailfragen wie genau die Ausschreibung gestaltet werden soll. Nach ca. 2 Wochen hatten wir schon Angebote von Banken vorliegen.";"Stetig";"Perfect service. Quick feedback and advice on detailed questions on how exactly the tender should be designed. After approx. 2 weeks we had already received offers from banks."
"138";"Die Beratung durch unternehmen war hervorragend, weil sie proaktiv und flexibel auf unsere Bedürfnisse einging. Im Ergebnis konnten wir so zusammen mit dem sehr kompetenten unternehmen-Berater und dem verfügbaren Banken-Netzwerk ein maßgeschneidertes und sehr attraktives Finanzierungspaket realisieren. Bei unserer nächsten Finanzierung werde ich mich daher wieder sehr gerne an unternehmen wenden.";"Stetig";"The advice provided by companies was excellent because it was proactive and flexible in responding to our needs. As a result, we were able to realize a tailor-made and very attractive financing package together with the very competent management consultant and the available banking network. I will therefore be very happy to turn to companies again for our next financing."
"139";"Die Qualität, Geschwindigkeit und auch das persönliche Engegemant der Services von unternehmen, explizit auch in Person von Herrn nachname, war herausragend. Vielen Dank nochmal!";"Stetig";"The quality, speed and also the personal closeness of the services of companies, explicitly also in the person of Mr. surname, was outstanding. Thanks again! "
"140";"Da eine Finanzierung bereits realisiert wurde, kann ich nichts nachteiliges sagen. Diese Finanzierung wurde schnell, und für unseren Kunden positiv beendet. MFG H & W Financial Service Ltd. Herbert Walter";"Gewissenhaft";"Since a financing has already been realized, I cannot say anything detrimental. This financing was quickly and positively ended for our customer.    MFG H & W Financial Service Ltd. Herbert Walter"
"141";"Sehr gute Beratung und Unterstützung!";"Initiativ";"Very good advice and support!"
"142";"Kompetente und sehr engagierte Ansprechpartner. Insbesondere ein ganz großes Dankeschön an Herrn nachname; sehr gute Beratung!! Das Finanzierungsmodell ist individuell auf unser Unternehmen abgestimmt und die Konditionen sind sehr gut. Eine Zusammenarbeit mit unternehmen ist empfehlenswert.";"Initiativ";"Competent and very committed contact persons. Especially a big thank you to Mr. surname; very good advice! The financing model is individually tailored to our company and the conditions are very good. Cooperation with companies is recommended."
"143";"schnelle kompetete Beratung - zeitnahe Bearbeitung - freundliche Mitarbeiter";"Dominant";"fast competent advice - prompt processing - friendly employees"
"144";"bei uns ging es um den Mietkauf einer Maschine, die Bearbeitung und Erstellung der Angebote lief problemlos und sehr kurzfristig. Ich würde jederzeit wieder anfragen.";"Gewissenhaft";"We were concerned with the hire purchase of a machine, the processing and preparation of the quotations ran smoothly and at very short notice. I would ask again at any time."
"145";"Zügige Abwicklung und unkompliziert.";"Dominant";"Quick handling and uncomplicated."
"146";"Frau Sobotta hat mir unkompliziert und mit sehr viel Bemühungen weitergeholfen. Sehr zu empfehlen. Vielen herzlichen Dank";"Stetig";"Mrs. Sobotta helped me uncomplicated and with a lot of efforts. Highly recommended. Thank you very much. "
"147";"Der Service und die Beratung waren sehr gut. Ich kann es nur Empfehlen.";"Stetig";"The service and advice were very good. I can only recommend it."
"148";"hat hervorragend funktioniert. Alles ging einfach, schnell und unkompliziert. Die Konditionen die ich bekam waren sehr gut.";"Dominant";"has worked excellently. Everything was simple, fast and uncomplicated. The conditions I got were very good."
"149";"Hervorragende Unterstützung. Es bleiben keine Fragen offen.";"Initiativ";"Excellent support. No questions remain unanswered."
"150";"Meine bisherige Erfahrung beruht auf der Betreuung durch Frau Laux. Ich kann durchweg nur absolut positiv berichten. Die Zusammenarbeit war eloquent, professionell, zuverlässig, super sympathisch, einfach perfekt. Jeder Zeit und immer wieder…";"Initiativ";"My previous experience is based on the support of Mrs. Laux. I can only report absolutely positively throughout. The cooperation was eloquent, professional, reliable, super sympathetic, simply perfect. Every time and over and over again..."
"151";"unternehmen hat uns sehr bei der Finanzierung unseres Bürogebäudes geholfen. Gerne wieder!";"Stetig";"The company helped us a lot with the financing of our office building. Again with pleasure! "
"152";"Frau nachname ist eine sehr engagierte Dame , die hervorragende Arbeit leistet , sie wäre für jedes Unternehmen ein großer Gewinn.";"Initiativ";"Woman surname is a very dedicated lady who does excellent work, she would be a great asset to any business."
"153";"Top Beratung, kurze Wege, schnelle Entscheidungen!";"Dominant";"Top advice, short distances, quick decisions!"
"154";"Super Service, jederzeit gerne wieder";"Initiativ";"Super service, anytime gladly again"
"155";"In der heutigen Zeit - insbesondere wo sich die Geschäftsmodelle der Banken und Finanzinstitute zum Teil dramatisch verändern - ist es für ein mittelständisches Unternehmen aus der Solarbranche wie unser, wichtig zu wissen, einen Partner wie unternehmen an der Seite zu haben. Ein Partner, der in (fast) allen Finanzierungsfragen Lösungen anbieten kann.";"Initiativ";"Nowadays - especially when the business models of banks and financial institutions are changing dramatically - it is important for a medium-sized company in the solar industry such as ours to know that it has a partner like a company on its side. A partner who can offer solutions for (almost) all financing issues."
"156";"Sehr bemüht, professionell und unterstützend.";"Dominant";"Very hard working, professional and supportive."
"157";"Toller Service und kompetente Ansprechpartner!";"Dominant";"Great service and competent contact persons!"
"158";"5 Sterne, dass sagt alles. Kann dieses Unternehmen insbesondere Frau nachname nur weiterempfehlen. Kompetent - freundlich - geduldig und Verständnisvoll Immer wieder gerne";"Initiativ";"5 stars, that says it all. Can only recommend this company especially woman surname. Competent - friendly - patient and understanding Always happy to do it again"
"159";"Schnell, unkompliziert, zuverlässig und kompetent, so wie man es in der heutigen Zeit braucht. Jederzeit wieder gerne.";"Initiativ";"Fast, uncomplicated, reliable and competent, just as you need it today. Anytime again gladly."
"160";"Ich kann unternehmen empfehlen";"Dominant";"I can recommend companies"
"161";"Übersichtliches Portal. Schnelle Kontaktaufnahme und Unterstützung. Die Kontaktpersonen sind immer bemüht und freundlich.";"Stetig";"Clear portal. Quick contact and support. The contact persons are always endeavoured and friendly."
"162";"Die Bearbeitung war zügig und wir wurden immer zeitnah über den aktuellen Stand informiert. Wenn man nicht selbst lange Recherchen anstellen will und eine große Breite an Anbietern nutzen möchte, ist unternehmen sehr zu empfehlen. Wir hatten Erfolg!";"Stetig";"The processing was speedy and we were always promptly informed about the current status. If you don't want to carry out long researches yourself and want to use a wide range of providers, then unternehmen is highly recommended. We succeeded!"
"163";"Ich kann unternehmen nur empfehlen. Mein Ansprechpartner dort war sehr engagiert, hat mich gut beraten. Nach Einreichung der Unterlagen hatte ich sehr schnell ein Angebot und kurz darauf wurde mir das Darlehen zur Verfügung gestellt.";"Gewissenhaft";"I can only recommend undertaking. My contact person there was very committed and gave me good advice. After submitting the documents, I very quickly received an offer and shortly afterwards the loan was made available to me."
"164";"Eine wunderbare Zusammenarbeit mit hervorragenden Ergebnissen. Durch die maximale Machbarkeitswahscheinlichkeit und dem Ausschreibungsnachnameip wird für den Kunden das bestmöglich Angebot im schwierigen Markt der Gewerbefinanzierungen erzeugt. Gepaart mit persönlicher und hochspezialisierter Beratung macht die Zusammenarbeit sehr viel Spaß! Wir freuen uns über weitere gemeinsame Projekte!";"Initiativ";"A wonderful cooperation with excellent results. The maximum probability of feasibility and the post tender tender tender procedure ensure that the customer receives the best possible offer in the difficult commercial financing market. Coupled with personal and highly specialized advice, the cooperation is a lot of fun! We are looking forward to further joint projects!"
"165";"Ausschreibungsverfahren führt zu effizieter Bündelung der Aktivitäten. Professionelle bearbeitung von Rückfragen.";"Dominant";"Tendering procedure leads to efficient bundling of activities. Professional processing of queries."
"166";"Die Bearbeitung war hervorragend. Sehr schnell und unbürokratisch. Ich kann es nur weiter empfehlen.";"Initiativ";"The processing was excellent. Very fast and unbureaucratic. I can only recommend it."
"167";"Schnell, einfach, günstiger und besser ??";"Initiativ";"Fast, easy, cheaper and better ??"
"168";"Sehr gute und kompetente Beratung, kann man nur empfehlen!";"Initiativ";"Very good and competent advice, one can only recommend!"
"169";"sehr einfache Handhabung bei Eingabe der Anfrage, sehr schnelle Reaktion, äußerst engagierte Mitarbeiter!";"Initiativ";"very easy handling when entering the request, very fast reaction, extremely dedicated staff!"
"170";"Die Unterstützung war sehr hilfreich!";"Stetig";"The support was very helpful!"
"171";"alles ging schnell und problemlos.";"Dominant";"everything went quickly and smoothly."
"172";"Kompetente, fachlich versierte, lösungsorientierte Ansprechpartner, die auch Alternativüberlegungen einbringen; empfehlenswert";"Gewissenhaft";"Competent, technically experienced, solution-oriented contact persons, who also bring in alternative considerations; recommendable"
"173";"unternehmen hat nach kurzer Beratung das passende Angebot vermitteln können. Dabei wurde ohne viel Umschweife auf die wichtigsten Punkte eingegangen. Von der Kontaktaufnahme zu unternehmen bis zur Auszahlung des Kredites sind nicht einmal 2 Wochen vergangen.";"Gewissenhaft";"After a short consultation, the company was able to provide the appropriate offer. The most important points were dealt with without much digression. Less than 2 weeks have elapsed between the time of contacting the bank and the payment of the loan."
"174";"Sehr netter, kompetenter Kontakt. Empfehlenswert. Vielen Dank!";"Initiativ";"Very nice, competent contact. Recommended. Thank you very much."
"175";"Nach anfänglichen Startschwierigkeiten Top-Service und Flexiblität";"Dominant";"After initial start-up difficulties top service and flexibility"
"176";"Eine wundervolles Konzept für Unternehmensfinanzierungen.";"Initiativ";"A wonderful concept for corporate finance."
"177";"Engagierte und kompetente Mitarbeiter, die auch mögliche Alternativen aufzeigen und sich eigeninitiativ um die Belange des Kunden kümmern. Uneingeschränkt empfehlenswert.";"Initiativ";"Dedicated and competent employees who also point out possible alternatives and take the initiative to look after the customer's interests. Unrestrictedly recommendable."
"178";"Dynamisch und zuverlässig";"Dominant";"Dynamic and reliable"
"179";"Gute Portallösung mit persönlichen Beratern, die freundlich und zuverlässig die passenden Konzeptionen erstellen.";"Stetig";"Good portal solution with personal consultants who create the appropriate concepts in a friendly and reliable manner."
"180";"Für Privatkunden gibt es viele Vergleichsportale...aufmerksam geworden durch eine Werbung, finden wir es toll, dass Unternehmen - auch unabhängig von einer Hausbank unkompliziert, aber mit persönlicher Beratung zu dem jeweiligen Projekt eine Finanzierung suchen können";"Initiativ";"For private customers there are many comparison portals...become attentive by an advertisement, we find it great that enterprises - also independently of a house bank uncomplicatedly, but with personal consultation to the respective project a financing can look for can"
"181";"Die Vermittlung von Finanzierungsanfragen erfolgt höchst kompetent. Aufgrund der offenen Kommunikation konnten die Anfragen in kürzester Zeit zum Abschluss gebracht werden.";"Gewissenhaft";"The mediation of financing enquiries is highly competent. Due to the open communication the inquiries could be brought to a conclusion in shortest time."
"182";"kompetent schnell und super freundlich";"Initiativ";"competent fast and super friendly"
"183";"Top Service, schnelle Entscheidungsfindung. Mit unternehmen taucht man in eine völlig neue Welt der Finanzierung ein. Wer jetzt noch sagt Deutschland sei eine  Servicewüste der soll sich bitte mit unternehmen in Verbindung setzen.";"Initiativ";"Top service, fast decision making. With unternehmen one dives into a completely new world of financing. Who now still says that Germany is a service desert should please contact companies."
"184";"Sehr gute Beratung, schnelle Reaktionszeit";"Initiativ";"Very good advice, fast response time"
"185";"Ausreichend gute Angebote in guter Zeit";"Gewissenhaft";"Sufficiently good offers in good time"
"186";"Kompetente Beratung einfacher Prozess, Spitze.";"Initiativ";"Competent advice simple process, top."
"187";"Es ist sehr wichtig gut beratet zu werden.. für mich wars auch sehr wichtig dass zügig auf anschreiben antwort kommt .. ich finde es super dass sofort auf e mails und anrufe geantwortet worden ist . Ich kann es nur weiterempfelen .. ????";"Initiativ";"It's very important to be well advised... for me it was also very important that quickly on letter answer comes ... I think it super that immediately on e mails and calls has been answered. I can only recommend it. ????"
"188";"Habe mich sehr gut beraten und betreut gefühlt jederzeit gerne wieder.";"Stetig";"I have very well advised and felt cared for at any time gladly again."
"189";"Bei der Beantragung von Betriebsmitteln für einen Klienten hat die einfache Handhabung der Homepage, zusammen mit der persönlichen Prüfung und Optimierung der Anfrage durch Herrn nachname als Kundenberater, zum erfolgreichen Abschluss geführt. Vielen Dank!";"Gewissenhaft";"When applying for resources for a client, the simple handling of the homepage, together with the personal check and optimization of the request by Mr. surname as customer consultant, led to a successful conclusion. Thank you very much."
"190";"Schneller & freundlicher Service!";"Initiativ";"Fast & friendly service!"
"191";"Herr nachname der Berater war Einwandfrei Sachlich hat Erfahrung und Kompetenz die seines Gleichen Sucht. Danke Herr Gurschke";"Initiativ";"Mr surname the consultant was Impeccable Objectively has experience and competence the same as his addiction. Thank you Mr Gurschke"
"192";"Schnelle, kompetente Abwicklung";"Dominant";"Fast, competent processing"
"193";"Nach Spezifizierung unserer Anfrage erhielten wir kurzfristig mehrere Finanzierungsangebote. Bei Rückfragen konnten wir jederzeit unseren Ansprechpartner bei unternehmen sprechen. Sehr angenehmer Kontakt, können wir nur empfehlen.";"Stetig";"After specifying our request, we received several financing offers at short notice. If we had any questions, we were able to talk to our contact person at the company at any time. Very pleasant contact, we can only recommend."
"194";"Kompetente Beratung und Unterstützung";"Dominant";"Competent advice and support"
"195";"Sehr zügige und zielführende Beratung am Telefon sowie Vermittlung von Finanzierern - auch bei Speizailmaschinen. Gerne wieder!";"Dominant";"Very quick and target-oriented advice on the phone and the procurement of financiers - also for speizail machines. Again with pleasure!"
"196";"Prompte Bearbeitung der Kreditanfrage Kontinuierlicher Ansprechpartne Gute Erreichbarkeit Direkte offene Kommunikation";"Gewissenhaft";"Prompt processing of credit enquiries Continuous contact Good availability Direct open communication"
"197";"Das Angebot kam schnell mit guten Konditionen mit Nachverhandlung!";"Dominant";"The offer came quickly with good terms with renegotiation!"
"198";"Ich war mit der Tätigkeit von unternehmen sehr zufrieden und kann die Gesellschaft guten Gewissens weiter empfehlen. Mein Sachbearbeiter, Herr nachname, stand mir äußerst kompetent für alle Fragen jederzeit zur Verfügung. Äußerst hilfreich war sein Wissen, wie Banken heutzutage ticken . In allen Besprechungen mit den Banken war seine Verhandlungsführung Danke.";"Stetig";"I was very satisfied with the activities of the companies and can recommend the company to others with a clear conscience. My clerk, Mr. surname, was always available to answer all my questions in an extremely competent manner. His knowledge of how banks ""tick"" these days was extremely helpful. In all meetings with the banks, his conduct of negotiations was very helpful and purposeful. Thank you. I'll take care of it."
"199";"Mein Ansprechpartner bei unternehmen, Herr nachname, ist nicht nur kompetent und effektiv, sondern auch schnell. Und allein das zählt in der Wirtschaft. Weiter so! Ich kann unternehmen nur wärmstens empfehlen.";"Initiativ";"My contact person at company, Mr. surname, is not only competent and effective, but also fast. And that alone counts in business. Keep it up! I can only warmly recommend undertaking."
"200";"Kompetente und gute Beratung sowie ein offener und schneller Service! Gerne wieder.";"Stetig";"Competent and good advice as well as an open and fast service! I'd love to."
"201";"Super Beratung und Unterstützung";"Initiativ";"Super advice and support"
"202";"+ geringer Aufwand für die Erstellung einer Kreditanfrage erfolgreiche Vermittlung von zwei Firmenkrediten (Gesamt: 520 TSD Euro) Vermittlung einer Bank, die wir sonst nie angesprochen hätten (apoBank) super Konditionen kompetente, freundliche und kreative Mitarbeiterin schnelle Antworten per E-Mail, telefonisch erreichbar";"Gewissenhaft";"+ low expenditure for the production of a credit inquiry + successful switching of two firm credits (altogether: 520 TSD euro) + switching of a bank, which we would not have addressed otherwise (apoBank) + super conditions + competent, friendly and creative woman employee + fast answers by E-Mail, by telephone attainable"
"203";"Sehr kompetente Beratung, immer auf der Suche nach einer passender Lösung. Ich war positiv überrascht über so viel Engagement.";"Initiativ";"Very competent advice, always looking for a suitable solution. I was positively surprised by so much commitment."
"204";"Die Zusammenarbeit mit den Mitarbeitern der Firma unternehmen waren sehr gut.";"Stetig";"The cooperation with the employees of the company was very good."
"205";"Kompetente Ansprechpartner und schnelle Ergebnisse und Entscheidungen!";"Dominant";"Competent contact persons and fast results and decisions!"
"206";"Kompetente, persönliche Kundenbetreuung!";"Stetig";"Competent, personal customer service!"
"207";"Hervorragende Beratung und vor allem auch sehr gute persönliche Betreuung !";"Initiativ";"Excellent advice and above all very good personal support !"
"208";"Sehr netter Kontakt.";"Stetig";"Very nice contact. "
"209";"Sehr schnell und gutes Angebot";"Dominant";"Very fast and good offer"
"210";"Alles reibungslos.";"Dominant";"Everything's smooth."
"211";"schnelle Bearbeitung leichte Kommunikationsprobeme";"Dominant";"fast processing easy communication tests"
"212";"professionelle und termingerechte Betreuung, sehr gutes Ergebnis";"Dominant";"professional and timely support, very good result"
"213";"Sehr freundliche und persönliche Beratung.";"Stetig";"Very friendly and personal advice."
"214";"schnelle und unkomplizierte Bearbeitung.";"Dominant";"fast and uncomplicated processing."
"215";"Top Service / Der Ansprechpartner hat sich ohne aufzugeben sehr gut und intensiv gekümmert.";"Initiativ";"Top Service / The contact person has taken very good and intensive care of himself without giving up. "
"216";"Durch die professionelle Aufbereitung unserer Anfrage wurde das angefragte Darlehen innerhalb weniger Tage durch einen alternativen Finanzierer genehmigt und ausgezahlt.";"Gewissenhaft";"Due to the professional preparation of our request, the requested loan was approved and disbursed within a few days by an alternative financier. "
"217";"Seriös und kompetent. Und es hat wunderbar geklappt. Umschuldung, weg von Dispo mit 8.9 % hin zu Annuitätenkredit sehr guten Konditionen.";"Gewissenhaft";"Serious and competent. And it worked wonderfully. Debt rescheduling, away from overdrafts with 8.9 % to annuity loans with very good conditions."
"218";"Sehr kompetente Beratung und individuelle Lösungen auch in schwierigen Themenbereichen möglich. Fazit: Sehr empfehlenswert!";"Dominant";"Very competent advice and individual solutions also possible in difficult subject areas. Conclusion: Very recommendable!"
"219";"Unkompliziert und schnell. Vielen Dank für die gute Zusammenarbeit";"Initiativ";"Uncomplicated and fast. Thank you very much for the good cooperation. "
"220";"Sehr gute Plattform !";"Dominant";"Very good platform !"
"221";"Freundlicher und kompetenter Service";"Initiativ";"Friendly and competent service"
